step_counter,episode_step,vel,facing,strike,terminate,hit,total,w_vel,w_facing,w_strike,w_terminate,w_hit
1,1,0.0,0.9997089505195618,0.0,0.0,1.6554189659692686e-13,0.09997089952230453,0.1,0.1,0.2,1.0,0.6
2,2,0.0,0.999671995639801,0.0,0.0,2.200154527965889e-13,0.09996720403432846,0.1,0.1,0.2,1.0,0.6
3,3,0.0,0.9989138245582581,0.0,0.0,3.698555947184018e-13,0.09989138692617416,0.1,0.1,0.2,1.0,0.6
4,4,0.04204633831977844,0.9997421503067017,0.0,0.0,1.7356295437323532e-12,0.10417884588241577,0.1,0.1,0.2,1.0,0.6
5,5,0.9090765118598938,0.9967809319496155,0.0,0.0,2.0597955632806197e-11,0.19058574736118317,0.1,0.1,0.2,1.0,0.6
6,6,1.0,0.9886597990989685,0.0,0.0,8.543724755449844e-11,0.19886597990989685,0.1,0.1,0.2,1.0,0.6
7,7,1.0,0.9807488918304443,0.0,0.0,2.6836902144999897e-10,0.19807489216327667,0.1,0.1,0.2,1.0,0.6
8,8,1.0,0.9750411510467529,0.0,0.0,9.855045668416551e-10,0.19750411808490753,0.1,0.1,0.2,1.0,0.6
9,9,1.0,0.9752235412597656,0.0,0.0,3.069739351602152e-09,0.1975223571062088,0.1,0.1,0.2,1.0,0.6
10,10,1.0,0.9778710603713989,0.0,0.0,7.967934756436534e-09,0.1977871060371399,0.1,0.1,0.2,1.0,0.6
11,11,1.0,0.9782260656356812,0.0,0.0,2.2265874477511716e-08,0.19782261550426483,0.1,0.1,0.2,1.0,0.6
12,12,1.0,0.9797378182411194,0.0,0.0,4.5210530430495055e-08,0.1979738175868988,0.1,0.1,0.2,1.0,0.6
13,13,0.9977886080741882,0.9837268590927124,0.0,0.0,8.158744435604603e-08,0.1981516033411026,0.1,0.1,0.2,1.0,0.6
14,14,1.0,0.9915773272514343,0.0,0.0,1.7696976328807068e-07,0.19915784895420074,0.1,0.1,0.2,1.0,0.6
15,15,1.0,0.9951527118682861,0.0,0.0,3.240306796215009e-07,0.1995154768228531,0.1,0.1,0.2,1.0,0.6
16,16,1.0,0.9954793453216553,0.0,0.0,7.23231210031372e-07,0.1995483785867691,0.1,0.1,0.2,1.0,0.6
17,17,0.9775534868240356,0.9949338436126709,0.0,0.0,1.4042001339475974e-06,0.19724957644939423,0.1,0.1,0.2,1.0,0.6
18,18,0.9528431296348572,0.9964607357978821,0.0,0.0,1.7805905372370034e-06,0.19493146240711212,0.1,0.1,0.2,1.0,0.6
19,19,0.9558001160621643,0.9980053901672363,0.0,0.0,2.000773292820668e-06,0.195381760597229,0.1,0.1,0.2,1.0,0.6
20,20,0.9620720744132996,0.9980217218399048,0.0,0.0,2.6723689643404214e-06,0.1960109919309616,0.1,0.1,0.2,1.0,0.6
21,21,0.9005242586135864,0.9935608506202698,0.0,0.0,3.6794938296225155e-06,0.1894107162952423,0.1,0.1,0.2,1.0,0.6
22,22,0.8876564502716064,0.9908187985420227,0.0,0.0,3.1140500595938647e-06,0.18784938752651215,0.1,0.1,0.2,1.0,0.6
23,23,0.9186000823974609,0.991278886795044,0.0,0.0,2.7835478704218986e-06,0.19098956882953644,0.1,0.1,0.2,1.0,0.6
24,24,0.9603427052497864,0.9927322268486023,0.0,0.0,3.4364525163255166e-06,0.19530954957008362,0.1,0.1,0.2,1.0,0.6
25,25,0.9946728944778442,0.994748592376709,0.0,0.0,5.00104351885966e-06,0.19894514977931976,0.1,0.1,0.2,1.0,0.6
26,26,1.0,0.9956223368644714,0.0,0.0,6.763869350834284e-06,0.1995662897825241,0.1,0.1,0.2,1.0,0.6
27,27,1.0,0.9971327781677246,0.0,0.0,9.305387720814906e-06,0.1997188776731491,0.1,0.1,0.2,1.0,0.6
28,28,1.0,0.9991683959960938,0.0,0.0,1.803547093004454e-05,0.1999276578426361,0.1,0.1,0.2,1.0,0.6
29,29,1.0,0.9996913075447083,0.0,0.0,4.868379619438201e-05,0.19999834895133972,0.1,0.1,0.2,1.0,0.6
30,30,1.0,0.9947077035903931,0.0,0.0,0.00014345238741952926,0.1995568424463272,0.1,0.1,0.2,1.0,0.6
31,31,1.0,0.9849872589111328,0.0,0.0,0.000441540963947773,0.1987636536359787,0.1,0.1,0.2,1.0,0.6
32,32,1.0,0.9766360521316528,0.0,0.0,0.0012946607312187552,0.19844040274620056,0.1,0.1,0.2,1.0,0.6
33,33,1.0,0.973462700843811,0.0,0.0,0.0028326846659183502,0.19904588162899017,0.1,0.1,0.2,1.0,0.6
34,34,1.0,0.981247067451477,0.0,0.0,0.006003519520163536,0.20172682404518127,0.1,0.1,0.2,1.0,0.6
35,35,1.0,0.9887606501579285,0.0,0.0,0.011960621923208237,0.20605243742465973,0.1,0.1,0.2,1.0,0.6
36,36,1.0,0.9905931353569031,0.0,0.0,0.018275290727615356,0.21002447605133057,0.1,0.1,0.2,1.0,0.6
37,37,0.9979371428489685,0.9866288900375366,0.0,0.0,0.028908422216773033,0.2158016562461853,0.1,0.1,0.2,1.0,0.6
38,38,0.8816479444503784,0.980225682258606,0.0,0.0,0.050581954419612885,0.21653655171394348,0.1,0.1,0.2,1.0,0.6
39,39,0.583626925945282,0.980967104434967,0.0,0.0,0.055717505514621735,0.18988990783691406,0.1,0.1,0.2,1.0,0.6
40,40,0.5836892127990723,0.9826711416244507,0.0,0.0,0.06643038243055344,0.19649428129196167,0.1,0.1,0.2,1.0,0.6
41,41,0.5122044086456299,0.9879919290542603,0.0,0.0,0.0500776432454586,0.18006621301174164,0.1,0.1,0.2,1.0,0.6
42,42,0.5294306874275208,0.9850265979766846,0.0,0.0,0.0730333924293518,0.1952657699584961,0.1,0.1,0.2,1.0,0.6
43,43,0.43548956513404846,0.9802773594856262,0.0,0.0,0.042752787470817566,0.16722837090492249,0.1,0.1,0.2,1.0,0.6
44,44,0.6355062127113342,0.9538354873657227,0.0,0.0,0.08901505172252655,0.2123432159423828,0.1,0.1,0.2,1.0,0.6
45,45,0.5386969447135925,0.9351188540458679,0.0,0.0,0.16666153073310852,0.24737851321697235,0.1,0.1,0.2,1.0,0.6
46,46,0.2650928199291229,0.9201632738113403,0.0,0.0,0.17678070068359375,0.22459404170513153,0.1,0.1,0.2,1.0,0.6
47,47,0.1412210464477539,0.9107054471969604,0.0,0.0,0.2794739007949829,0.2728770077228546,0.1,0.1,0.2,1.0,0.6
48,48,0.11765845119953156,0.9054656624794006,0.0,0.0,0.29457253217697144,0.27905595302581787,0.1,0.1,0.2,1.0,0.6
49,49,0.08072313666343689,0.9062546491622925,0.0,0.0,0.30215486884117126,0.27999070286750793,0.1,0.1,0.2,1.0,0.6
50,50,0.0683957189321518,0.8966782093048096,0.0,0.0,0.29898810386657715,0.275900274515152,0.1,0.1,0.2,1.0,0.6
51,51,0.04343905299901962,0.8987410664558411,0.0,0.0,0.27072012424468994,0.25665009021759033,0.1,0.1,0.2,1.0,0.6
52,52,0.041380319744348526,0.8774353861808777,0.0,0.0,0.28588253259658813,0.26341110467910767,0.1,0.1,0.2,1.0,0.6
53,53,0.02290392853319645,0.8530668616294861,0.0,0.0,0.2660112679004669,0.24720384180545807,0.1,0.1,0.2,1.0,0.6
54,54,0.05342072993516922,0.8174797296524048,0.0,0.0,0.32171618938446045,0.28011977672576904,0.1,0.1,0.2,1.0,0.6
55,55,0.06782212108373642,0.8145999312400818,0.0,0.0,0.3394962549209595,0.29193997383117676,0.1,0.1,0.2,1.0,0.6
56,56,0.05148082971572876,0.8276702761650085,0.0,0.0,0.31529733538627625,0.2770935297012329,0.1,0.1,0.2,1.0,0.6
57,57,0.04127412289381027,0.8394948244094849,0.0,0.0,0.3885887563228607,0.3212301731109619,0.1,0.1,0.2,1.0,0.6
58,58,0.03252241760492325,0.84750896692276,0.0,0.0,0.4653112590312958,0.3671899139881134,0.1,0.1,0.2,1.0,0.6
59,59,0.027852443978190422,0.8511204719543457,0.0,0.0,0.4653661251068115,0.3671169877052307,0.1,0.1,0.2,1.0,0.6
60,60,0.025894729420542717,0.8543744087219238,0.0,0.0,0.47147005796432495,0.3709089457988739,0.1,0.1,0.2,1.0,0.6
61,61,0.025391917675733566,0.8579837679862976,0.0,0.0,0.47106990218162537,0.37097951769828796,0.1,0.1,0.2,1.0,0.6
62,62,0.025574538856744766,0.8615319132804871,0.0,0.0,0.4728439450263977,0.37241703271865845,0.1,0.1,0.2,1.0,0.6
63,63,0.026112910360097885,0.865537166595459,0.0,1.0,0.471607506275177,1.3721294403076172,0.1,0.1,0.2,1.0,0.6
64,64,0.026464108377695084,0.870100736618042,0.0,0.0,0.4670711159706116,0.3698991537094116,0.1,0.1,0.2,1.0,0.6
65,65,0.027789641171693802,0.8754543662071228,0.0,0.0,0.4598560035228729,0.3662380278110504,0.1,0.1,0.2,1.0,0.6
66,66,0.029307419434189796,0.8817480802536011,0.0,0.0,0.45774075388908386,0.3657500147819519,0.1,0.1,0.2,1.0,0.6
67,67,0.030472595244646072,0.8889797925949097,0.0,0.0,0.4540249705314636,0.3643602430820465,0.1,0.1,0.2,1.0,0.6
68,68,0.03156423568725586,0.8970859050750732,0.0,0.0,0.4447554647922516,0.35971829295158386,0.1,0.1,0.2,1.0,0.6
69,69,0.033542338758707047,0.9062813520431519,2.472362995147705,1.0,0.42469489574432373,1.8432718515396118,0.1,0.1,0.2,1.0,0.6
